source_task_key,task_id,occupation_soc_code,occupation_name,occupational_task,source_table,task_type_raw,emerging_category_raw,rating_status,provisional_source,task_update_month,domain_source,importance_mean_1_5,relevance_pct,frequency_mean_category_1_7,rating_recommend_suppress,detailed_work_activities,home_canonical_task_id,canonical_task_name,responsibility_role,population_scope,home_mapping_relation,detailed_mapping_relation,mapping_rationale,secondary_candidate_canonical_task_ids,review_flag,review_decision,reviewer_notes,source_url,onet_release,canonical_inclusion_status,exclusion_reason
17245,17245,29-1224.00,Radiologists,Confer with medical professionals regarding image-based diagnoses.,Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.79,99.16,5.595,N,Inform medical professionals regarding patient conditions and care.,RAD-01,Evaluate patients through diagnostic imaging and communicate findings,primary_output,broad,central,direct_component,Consulting medical professionals about an image-based diagnosis communicates and clinically resolves the diagnostic outcome.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
17246,17246,29-1224.00,Radiologists,"Instruct radiologic staff in desired techniques, positions, or projections.",Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.42,94.69,4.979,N,Train medical providers.,RAD-01,Evaluate patients through diagnostic imaging and communicate findings,primary_output,broad,enabling,enabling_component,"Case-specific direction on technique, positioning, and projections helps produce imaging adequate for the requested diagnostic assessment.",,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
17248,17248,29-1224.00,Radiologists,"Document the performance, interpretation, or outcomes of all procedures performed.",Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.87,89.13,6.014,N,Record patient medical histories.,RAD-02,Plan and perform image-guided procedures and manage procedural care,primary_output,occupation_variant,enabling,cross_boundary_best_fit,"Documenting the performance and outcome of procedures is integral to procedural care, but 'all procedures performed' can encompass non-interventional and nuclear medicine procedures as well.",RAD-01; RAD-03,TRUE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
17249,17249,29-1224.00,Radiologists,Develop or monitor procedures to ensure adequate quality control of images.,Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.60,94.85,5.502,N,Develop healthcare quality and safety procedures.,RAD-01,Evaluate patients through diagnostic imaging and communicate findings,primary_output,broad,enabling,embedded_supporting_activity,Image quality-control procedures enable diagnostically adequate imaging and are embedded in RAD-01 rather than retained as a separate governance task.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
17250,17250,29-1224.00,Radiologists,Coordinate radiological services with other medical activities.,Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.44,80.95,5.051,N,Collaborate with healthcare professionals to plan or provide treatment.,RAD-01,Evaluate patients through diagnostic imaging and communicate findings,primary_output,broad,enabling,embedded_supporting_activity,Coordination with other medical activities supports the diagnostic-imaging assessment and communication outcome; mapped to RAD-01 after removal of the standalone governance task.,,TRUE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
17251,17251,29-1224.00,Radiologists,"Provide counseling to radiologic patients to explain the processes, risks, benefits, or alternative treatments.",Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.51,83.23,4.797,N,Explain medical procedures or test results to patients or family members.,RAD-02,Plan and perform image-guided procedures and manage procedural care,primary_output,occupation_variant,enabling,cross_boundary_best_fit,"Explaining process, risks, benefits, alternatives, and treatments is most characteristic of informed procedural care, but the generic wording can include diagnostic or nuclear medicine encounters.",RAD-01; RAD-03,TRUE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
17252,17252,29-1224.00,Radiologists,"Communicate examination results or diagnostic information to referring physicians, patients, or families.",Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.85,94.95,5.915,N,Communicate detailed medical information to patients or family members.; Communicate test or assessment results to medical professionals.,RAD-01,Evaluate patients through diagnostic imaging and communicate findings,primary_output,broad,central,direct_component,Communicating examination results or diagnostic information delivers the image-based assessment to those who use it.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
17253,17253,29-1224.00,Radiologists,"Perform interventional procedures such as image-guided biopsy, percutaneous transluminal angioplasty, transhepatic biliary drainage, or nephrostomy catheter placement.",Task Statements,Supplemental,,rated,FALSE,08/2023,Incumbent,4.72,65.64,4.615,N,Operate on patients to treat conditions.,RAD-02,Plan and perform image-guided procedures and manage procedural care,primary_output,occupation_variant,central,specialty_component,"The listed biopsies, angioplasty, drainage, and catheter placements directly instantiate the image-guided interventional outcome.",,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
17254,17254,29-1224.00,Radiologists,"Perform or interpret the outcomes of diagnostic imaging procedures including magnetic resonance imaging (MRI), computer tomography (CT), positron emission tomography (PET), nuclear cardiology treadmill studies, mammography, or ultrasound.",Task Statements,Core,,rated,FALSE,08/2023,Incumbent,4.92,96.34,6.701,N,Analyze test data or images to inform diagnosis or treatment.; Operate diagnostic imaging equipment.,RAD-01,Evaluate patients through diagnostic imaging and communicate findings,primary_output,broad,central,direct_component,"Performing or interpreting diagnostic imaging across MRI, CT, PET, nuclear cardiology, mammography, and ultrasound directly produces the general diagnostic-imaging outcome.",,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
22732,22732,29-1224.00,Radiologists,Administer radioisotopes to clinical patients or research subjects.,Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Administer medical substances for imaging or other procedures.,RAD-03,Plan and deliver nuclear medicine diagnosis or therapy,primary_output,occupation_variant,central,specialty_component,Administering radioisotopes is a direct nuclear medicine diagnostic or therapeutic responsibility.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
22733,22733,29-1224.00,Radiologists,"Advise other physicians of the clinical indications, limitations, assessments, or risks of diagnostic and therapeutic applications of radioactive materials.",Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Advise medical personnel regarding healthcare issues.,RAD-03,Plan and deliver nuclear medicine diagnosis or therapy,primary_output,occupation_variant,central,specialty_component,"Advice about the indications, limitations, assessment, and risks of radioactive-material applications is nuclear-medicine-specific clinical consultation.",,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
22734,22734,29-1224.00,Radiologists,"Calculate, measure, or prepare radioisotope dosages.",Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Calculate numerical data for medical activities.; Prepare medications or medical solutions.,RAD-03,Plan and deliver nuclear medicine diagnosis or therapy,primary_output,occupation_variant,central,specialty_component,"Calculating, measuring, or preparing radioisotope dosages directly supports patient-specific nuclear medicine delivery.",,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
22735,22735,29-1224.00,Radiologists,Check and approve the quality of diagnostic images before patients are discharged.,Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Check quality of diagnostic images.,RAD-01,Evaluate patients through diagnostic imaging and communicate findings,primary_output,broad,enabling,enabling_component,"Checking image quality before discharge is a patient-case quality gate that ensures the examination is adequate for diagnosis, rather than a system-level quality-control program.",,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
22736,22736,29-1224.00,Radiologists,"Compare nuclear medicine procedures with other types of procedures, such as computed tomography, ultrasonography, nuclear magnetic resonance imaging, and angiography.",Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Evaluate treatment options to guide medical decisions.,RAD-03,Plan and deliver nuclear medicine diagnosis or therapy,primary_output,occupation_variant,central,specialty_component,Comparing a nuclear medicine procedure with other modalities determines whether the nuclear application is appropriate for the clinical need.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
22737,22737,29-1224.00,Radiologists,"Direct nuclear medicine technologists or technicians regarding desired dosages, techniques, positions, and projections.",Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Supervise patient care personnel.,RAD-03,Plan and deliver nuclear medicine diagnosis or therapy,primary_output,occupation_variant,central,specialty_component,Directing technologists on dosage and imaging technique is case-specific physician direction within nuclear medicine delivery.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
22738,22738,29-1224.00,Radiologists,Establish and enforce radiation protection standards for patients and staff.,Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Verify that medical activities or operations meet standards.; Determine protocols for medical procedures.,,,,,,excluded_noncanonical_source,Retained for provenance but excluded from canonical radiology analysis because the reviewer removed the standalone governance and professional-support task; this statement does not itself produce one of the three selected clinical outcomes.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,excluded,system_level_quality_or_governance
22739,22739,29-1224.00,Radiologists,Formulate plans and procedures for nuclear medicine departments.,Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Manage healthcare operations.,,,,,,excluded_noncanonical_source,Retained for provenance but excluded from canonical radiology analysis because the reviewer removed the standalone governance and professional-support task; this statement does not itself produce one of the three selected clinical outcomes.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,excluded,system_level_quality_or_governance
22740,22740,29-1224.00,Radiologists,Monitor handling of radioactive materials to ensure that established procedures are followed.,Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Monitor the handling of hazardous materials or medical wastes.,RAD-03,Plan and deliver nuclear medicine diagnosis or therapy,primary_output,occupation_variant,enabling,embedded_supporting_activity,Safe handling of radioactive materials is an enabling part of delivering nuclear-medicine diagnosis or therapy.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
22741,22741,29-1224.00,Radiologists,Prescribe radionuclides and dosages to be administered to individual patients.,Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Prescribe medications.,RAD-03,Plan and deliver nuclear medicine diagnosis or therapy,primary_output,occupation_variant,central,specialty_component,Prescribing a radionuclide and patient-specific dosage is a defining physician responsibility in nuclear medicine diagnosis or therapy.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
22742,22742,29-1224.00,Radiologists,Review procedure requests and patients' medical histories to determine applicability of procedures and radioisotopes to be used.,Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Verify accuracy of patient information.,RAD-03,Plan and deliver nuclear medicine diagnosis or therapy,primary_output,occupation_variant,central,specialty_component,Reviewing requests and histories to determine procedural and radioisotope applicability establishes the patient-specific nuclear medicine plan.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
22743,22743,29-1224.00,Radiologists,"Teach nuclear medicine, diagnostic radiology, or other specialties at graduate educational level.",Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Train medical providers.,,,,,,excluded_noncanonical_source,Retained for provenance but excluded from canonical radiology analysis because the reviewer removed the standalone governance and professional-support task; this statement does not itself produce one of the three selected clinical outcomes.,,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,excluded,professional_development_or_teaching
22744,22744,29-1224.00,Radiologists,Test dosage evaluation instruments and survey meters to ensure they are operating properly.,Task Statements,,,established_unrated,FALSE,11/2020,Analyst,,,,N,Examine medical instruments or equipment to ensure proper operation.,RAD-03,Plan and deliver nuclear medicine diagnosis or therapy,primary_output,occupation_variant,enabling,embedded_supporting_activity,"Testing dosage and survey instruments enables safe, reliable nuclear-medicine service delivery.",,FALSE,Accept,,https://www.onetonline.org/link/details/29-1224.00,30.3,included,
23430,23430,47-2031.00,Carpenters,Follow established safety rules and regulations and maintain a safe and clean environment.,Task Statements,Core,,rated,FALSE,08/2022,Incumbent,4.67,100.00,5.810,N,Clean work sites.,CAN-47-2031-02,"Construct, install, and restore permanent components",primary_output,broad,enabling,supporting_component,"The task directly maintains the safe, compliant, and orderly worksite that this supporting bundle is defined to produce. It is retained within the broad construct/install/repair responsibility under the stricter outcome-based split rule.",,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23431,23431,47-2031.00,Carpenters,"Study specifications in blueprints, sketches, or building plans to prepare project layout and determine dimensions and materials required.",Task Statements,Core,,rated,FALSE,08/2022,Incumbent,4.36,88.24,5.135,N,Review blueprints or specifications to determine work requirements.,CAN-47-2031-01,Plan and coordinate project work,enabling_support,broad,central,core_component,"Reading specifications and converting them into layout, dimension, and material requirements is the central planning activity.",,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23432,23432,47-2031.00,Carpenters,"Measure and mark cutting lines on materials, using a ruler, pencil, chalk, and marking gauge.",Task Statements,Core,,rated,FALSE,08/2022,Incumbent,4.62,90.79,5.761,N,Measure materials or objects for installation or assembly.; Mark reference points on construction materials.,CAN-47-2031-02,"Construct, install, and restore permanent components",primary_output,broad,central,core_component,Measuring and marking creates the dimensional references used to fabricate permanent components.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23433,23433,47-2031.00,Carpenters,"Shape or cut materials to specified measurements, using hand tools, machines, or power saws.",Task Statements,Core,,rated,FALSE,08/2022,Incumbent,4.36,84.39,5.456,N,Cut wood components for installation.,CAN-47-2031-02,"Construct, install, and restore permanent components",primary_output,broad,central,core_component,Cutting or shaping material to specification is direct component fabrication.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23434,23434,47-2031.00,Carpenters,"Install structures or fixtures, such as windows, frames, floorings, trim, or hardware, using carpenters' hand or power tools.",Task Statements,Core,,rated,FALSE,08/2022,Incumbent,3.97,73.40,4.772,N,Install building fixtures.; Install doors or windows.; Install wooden structural components.,CAN-47-2031-02,"Construct, install, and restore permanent components",primary_output,broad,central,core_component,Installing structures and fixtures is a defining permanent-component construction outcome.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23435,23435,47-2031.00,Carpenters,"Verify trueness of structure, using plumb bob and level.",Task Statements,Core,,rated,FALSE,08/2022,Incumbent,4.23,88.69,4.821,N,Verify alignment of structures or equipment.,CAN-47-2031-02,"Construct, install, and restore permanent components",primary_output,broad,enabling,quality_control_component,Checking plumb and level verifies the dimensional quality of newly assembled or installed work rather than diagnosing existing damage.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23436,23436,47-2031.00,Carpenters,Select and order lumber or other required materials.,Task Statements,Supplemental,,rated,FALSE,08/2022,Incumbent,3.93,54.41,4.042,N,Select construction materials.; Order construction or extraction materials or equipment.,CAN-47-2031-01,Plan and coordinate project work,enabling_support,broad,enabling,supporting_component,Selecting and ordering required material resources the planned job.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23437,23437,47-2031.00,Carpenters,"Arrange for subcontractors to deal with special areas, such as heating or electrical wiring work.",Task Statements,Supplemental,,rated,FALSE,08/2022,Incumbent,4.12,49.91,4.003,N,Coordinate construction project activities.,CAN-47-2031-01,Plan and coordinate project work,enabling_support,broad,enabling,supporting_component,Arranging specialized subcontractors coordinates the project interfaces needed for execution.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23438,23438,47-2031.00,Carpenters,"Maintain records, document actions, and present written progress reports.",Task Statements,Core,,rated,FALSE,08/2022,Incumbent,3.94,79.33,4.542,N,Prepare operational reports.,CAN-47-2031-01,Plan and coordinate project work,enabling_support,broad,enabling,supporting_component,Progress records and reports document project execution for coordination and accountability.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23439,23439,47-2031.00,Carpenters,"Build or repair cabinets, doors, frameworks, floors, or other wooden fixtures used in buildings, using woodworking machines, carpenter's hand tools, or power tools.",Task Statements,Supplemental,,rated,FALSE,08/2022,Incumbent,4.11,53.70,5.052,N,Install wooden structural components.,CAN-47-2031-02,"Construct, install, and restore permanent components",primary_output,broad,enabling,mixed_task_dominant_fit,"The statement includes both building and repair, but its dominant object is fabrication of cabinets, frameworks, floors, and fixtures using woodworking tools; defect-led repair remains in the restoration bundle.",,TRUE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23440,23440,47-2031.00,Carpenters,Erect scaffolding or ladders for assembling structures above ground level.,Task Statements,Core,,rated,FALSE,08/2022,Incumbent,4.04,77.21,3.762,N,Assemble temporary equipment or structures.,CAN-47-2031-03,Build temporary structures and site supports,primary_output,occupation_variant,central,core_component,Scaffolding and ladders are temporary access structures that enable above-ground construction.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23441,23441,47-2031.00,Carpenters,"Anchor and brace forms and other structures in place, using nails, bolts, anchor rods, steel cables, planks, wedges, and timbers.",Task Statements,Core,,rated,FALSE,08/2022,Incumbent,3.72,92.60,4.421,N,Position construction forms or molds.,CAN-47-2031-03,Build temporary structures and site supports,primary_output,occupation_variant,central,core_component,Anchoring and bracing forms or other supports directly creates stable temporary construction infrastructure.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23442,23442,47-2031.00,Carpenters,"Inspect ceiling or floor tile, wall coverings, siding, glass, or woodwork to detect broken or damaged structures.",Task Statements,Core,,rated,FALSE,08/2022,Incumbent,4.08,81.59,3.896,N,Inspect work sites to determine condition or necessary repairs.,CAN-47-2031-02,"Construct, install, and restore permanent components",primary_output,broad,enabling,quality_control_component,Inspection is explicitly performed to identify damage and the need for restoration of existing fabric. It is retained within the broad construct/install/repair responsibility under the stricter outcome-based split rule.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23443,23443,47-2031.00,Carpenters,"Assemble and fasten materials to make frameworks or props, using hand tools and wood screws, nails, dowel pins, or glue.",Task Statements,Core,,rated,FALSE,08/2022,Incumbent,4.41,80.54,5.395,N,Assemble temporary equipment or structures.,CAN-47-2031-03,Build temporary structures and site supports,primary_output,occupation_variant,enabling,mixed_task_dominant_fit,"Frameworks can be permanent, but the explicit inclusion of props and the matching O*NET DWA for temporary structures make site-support work the best dominant fit.",CAN-47-2031-02,TRUE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23444,23444,47-2031.00,Carpenters,"Bore boltholes in timber, masonry or concrete walls, using power drill.",Task Statements,Core,,rated,FALSE,08/2022,Incumbent,3.56,91.54,4.120,N,Drill holes in construction materials.,CAN-47-2031-02,"Construct, install, and restore permanent components",primary_output,broad,central,core_component,Drilling bolt holes prepares construction material for fastening and permanent assembly.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23445,23445,47-2031.00,Carpenters,Maintain job records and schedule work crew.,Task Statements,Core,,rated,FALSE,08/2022,Incumbent,3.78,76.76,4.723,N,Record operational or environmental data.,CAN-47-2031-01,Plan and coordinate project work,enabling_support,broad,enabling,supporting_component,Job records and crew scheduling are project administration and coordination outputs.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23446,23446,47-2031.00,Carpenters,"Remove damaged or defective parts or sections of structures and repair or replace, using hand tools.",Task Statements,Core,,rated,FALSE,08/2022,Incumbent,3.92,87.90,4.189,N,"Remove worn, damaged or outdated materials from work areas.",CAN-47-2031-02,"Construct, install, and restore permanent components",primary_output,broad,central,core_component,Selective removal and replacement of defective sections directly restores existing structures. It is retained within the broad construct/install/repair responsibility under the stricter outcome-based split rule.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23447,23447,47-2031.00,Carpenters,"Install rough door and window frames, subflooring, fixtures, or temporary supports in structures undergoing construction or repair.",Task Statements,Core,,rated,FALSE,08/2022,Incumbent,3.45,87.23,3.551,N,Install safety or support equipment.; Install building fixtures.; Install doors or windows.,CAN-47-2031-02,"Construct, install, and restore permanent components",primary_output,broad,enabling,mixed_task_dominant_fit,Most listed outputs are permanent rough components; temporary supports create a secondary overlap with the site-support bundle.,CAN-47-2031-03,TRUE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23448,23448,47-2031.00,Carpenters,"Finish surfaces of woodwork or wallboard in houses or buildings, using paint, hand tools, or paneling.",Task Statements,Supplemental,,rated,FALSE,08/2022,Incumbent,4.04,64.13,4.464,N,Apply decorative or textured finishes or coverings.,CAN-47-2031-04,Complete surfaces and interior finishes,primary_output,occupation_variant,central,core_component,"Applying paint, paneling, or tool finishes directly completes visible woodwork or wallboard surfaces.",,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23449,23449,47-2031.00,Carpenters,"Examine structural timbers and supports to detect decay, and replace timbers as required, using hand tools, nuts, and bolts.",Task Statements,Supplemental,,rated,FALSE,08/2022,Incumbent,2.70,62.40,2.299,N,Inspect work sites to determine condition or necessary repairs.; Install wooden structural components.,CAN-47-2031-02,"Construct, install, and restore permanent components",primary_output,broad,central,core_component,The combined inspection and replacement of decayed structural timber is a complete restoration responsibility. It is retained within the broad construct/install/repair responsibility under the stricter outcome-based split rule.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23450,23450,47-2031.00,Carpenters,"Apply shock-absorbing, sound-deadening, or decorative paneling to ceilings or walls.",Task Statements,Supplemental,,rated,FALSE,08/2022,Incumbent,2.85,54.99,2.868,N,Install trim or paneling.,CAN-47-2031-04,Complete surfaces and interior finishes,primary_output,occupation_variant,enabling,specialty_variant,"Acoustic, shock-absorbing, and decorative paneling are distinct performance or decorative finish variants.",,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23451,23451,47-2031.00,Carpenters,"Cover subfloors with building paper to keep out moisture and lay hardwood, parquet, or wood-strip-block floors by nailing floors to subfloor or cementing them to mastic or asphalt base.",Task Statements,Supplemental,,rated,FALSE,08/2022,Incumbent,4.17,59.51,4.067,N,Install carpet or flooring.,CAN-47-2031-04,Complete surfaces and interior finishes,primary_output,occupation_variant,enabling,specialty_variant,Moisture underlayment and finished wood flooring produce a completed floor surface and represent finish-carpentry specialization.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23452,23452,47-2031.00,Carpenters,"Fill cracks or other defects in plaster or plasterboard and sand patch, using patching plaster, trowel, and sanding tool.",Task Statements,Supplemental,,rated,FALSE,08/2022,Incumbent,3.81,63.39,3.455,N,Apply material to fill gaps in surfaces.,CAN-47-2031-04,Complete surfaces and interior finishes,primary_output,occupation_variant,enabling,specialty_variant,Patching and sanding plasterboard defects prepare and complete a finish surface rather than restore a structural member.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23453,23453,47-2031.00,Carpenters,"Perform minor plumbing, welding, or concrete mixing work.",Task Statements,Supplemental,,rated,FALSE,08/2022,Incumbent,3.32,36.37,3.100,N,Mix substances or compounds needed for work activities.; Weld metal components.,CAN-47-2031-03,Build temporary structures and site supports,primary_output,occupation_variant,enabling,mixed_task_dominant_fit,"Minor concrete mixing can directly support forms and posts, while plumbing and welding are adjacent-trade interfaces; no separate bundle is justified by one heterogeneous supplemental statement.",CAN-47-2031-02,TRUE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23454,23454,47-2031.00,Carpenters,Prepare cost estimates for clients or employers.,Task Statements,Supplemental,,rated,FALSE,08/2022,Incumbent,3.68,29.43,3.129,N,Estimate construction project costs.,CAN-47-2031-01,Plan and coordinate project work,enabling_support,broad,enabling,supporting_component,Cost estimation converts project scope and material requirements into a client or employer planning output.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23455,23455,47-2031.00,Carpenters,Construct forms or chutes for pouring concrete.,Task Statements,Supplemental,,rated,FALSE,08/2022,Incumbent,4.14,64.85,3.316,N,Assemble temporary equipment or structures.; Build construction forms or molds.,CAN-47-2031-03,Build temporary structures and site supports,primary_output,occupation_variant,enabling,specialty_variant,Concrete forms and chutes are temporary construction systems characteristic of form-carpentry work.,,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23456,23456,47-2031.00,Carpenters,Build sleds from logs and timbers for use in hauling camp buildings and machinery through wooded areas.,Task Statements,Supplemental,,rated,FALSE,08/2022,Incumbent,1.44,25.14,1.578,N,Assemble products or production equipment.,CAN-47-2031-02,"Construct, install, and restore permanent components",primary_output,broad,enabling,specialty_variant,"A timber sled is a specialized fabricated wood product, but it uses the same dimensioning, joining, and completed-component responsibility.",,FALSE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23457,23457,47-2031.00,Carpenters,Work with or remove hazardous material.,Task Statements,Supplemental,,rated,FALSE,08/2022,Incumbent,3.87,52.84,3.531,N,Prepare hazardous waste for processing or disposal.,CAN-47-2031-02,"Construct, install, and restore permanent components",primary_output,broad,enabling,mixed_task_dominant_fit,"Hazardous-material removal can occur during demolition or repair, but its defining responsibility is exposure control and compliant handling rather than structural restoration. It is retained within the broad construct/install/repair responsibility under the stricter outcome-based split rule.",,TRUE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
23458,23458,47-2031.00,Carpenters,Dig or direct digging of post holes and set poles to support structures.,Task Statements,Core,,rated,FALSE,08/2022,Incumbent,3.13,78.89,2.975,N,Dig holes or trenches.; Position safety or support equipment.; Direct construction or extraction personnel.,CAN-47-2031-03,Build temporary structures and site supports,primary_output,occupation_variant,enabling,mixed_task_dominant_fit,"Setting poles can create a permanent structure, but excavation, support positioning, and direction of site labor align most closely with site-support and foundation-interface work.",CAN-47-2031-02,TRUE,Accept,,https://www.onetonline.org/link/details/47-2031.00,30.3,included,
E-47-2031-2025-01,,47-2031.00,Carpenters,Use drones for site surveying and to inspect hard-to-reach areas of a structure.,Emerging Tasks,,New,emerging_proposal,TRUE,05/2025,AI/SME,,,,,,CAN-47-2031-01,Plan and coordinate project work,enabling_support,broad,enabling,mixed_task_dominant_fit,"Drone-based surveying primarily produces site and structure information used to plan and coordinate field work. The same statement also covers inspection of existing structures, creating a real boundary overlap with CAN-47-2031-02; it remains in planning because the wording is not limited to defect-led restoration.",CAN-47-2031-02,TRUE,Accept,,https://www.onetcenter.org/dictionary/30.3/csv/emerging_tasks.html,30.3,included,
10635,10635,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Follow appropriate safety procedures for transporting dangerous goods.,Task Statements,Supplemental,,rated,FALSE,08/2022,Incumbent,4.66,59.61,4.964,N,Follow safety procedures for vehicle operation.,TRK-01,Transport and deliver freight by heavy truck,primary_output,broad,enabling,enabling,"Dangerous-goods procedures are compliance-related, but their defining object is specially regulated cargo and its safe custody during transport.",,FALSE,Accept,,https://www.onetonline.org/link/details/53-3032.00,30.3,included,
10636,10636,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,"Check vehicles to ensure that mechanical, safety, and emergency equipment is in good working order.",Task Statements,Core,,rated,FALSE,08/2022,Incumbent,4.61,98.64,5.273,N,Inspect motor vehicles.,TRK-01,Transport and deliver freight by heavy truck,primary_output,broad,enabling,enabling,"Mechanical, safety, and emergency-equipment inspection establishes roadworthy vehicle readiness.",,FALSE,Accept,,https://www.onetonline.org/link/details/53-3032.00,30.3,included,
10637,10637,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,"Maintain logs of working hours or of vehicle service or repair status, following applicable state and federal regulations.",Task Statements,Core,,rated,FALSE,08/2022,Incumbent,4.57,95.06,5.499,N,Record operational or production data.; Record service or repair activities.,TRK-01,Transport and deliver freight by heavy truck,primary_output,broad,enabling,enabling,"The task covers both work-hour and service-status logs; the dominant output is the compliant operational record, although service-status content also informs equipment readiness.",,FALSE,Accept,,https://www.onetonline.org/link/details/53-3032.00,30.3,included,
10638,10638,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Obtain receipts or signatures for delivered goods and collect payment for services when required.,Task Statements,Core,,rated,FALSE,08/2022,Incumbent,4.60,86.60,5.027,N,Collect fares or payment from customers.,TRK-01,Transport and deliver freight by heavy truck,primary_output,broad,enabling,enabling,"Receipts, signatures, and payments close the delivery transaction; customer-facing service is present but does not justify a separate bundle from shipment closeout.",,FALSE,Accept,,https://www.onetonline.org/link/details/53-3032.00,30.3,included,
