occupation_soc_code,occupation_name,job_role_name,industry_group,job_role_definition,bls_soc_code,employment_count,employment_count_reference_year,median_wage,median_wage_reference_year,education_most_common_level,education_data_date,acquire_scope,interpret_scope,decide_scope,act_scope,acquire_weight,interpret_weight,decide_weight,act_weight,acquire_rating,interpret_rating,decide_rating,act_rating,overall_ai_capability_rating,product_with_highest_autonomy_rating,gap_between_highest_and_capability,average_autonomy_all_products,gap_between_average_and_capability,median_autonomy_all_products,gap_between_median_and_capability,total_products,acquire_confidence,interpret_confidence,decide_confidence,act_confidence,review_flag,employment_rank,top_200_employment_occupation
55-1016.00,Infantry Officers,Infantry Officers,Government & Public Sector,"Direct, train, and lead infantry units in ground combat operations.",,,,,,,,"Obtain operational information on the mission, terrain, opposing forces, unit status, personnel, equipment, and supplies needed to prepare and conduct infantry operations.","Assess operational information to determine mission requirements, threats, terrain effects, unit readiness, and training needs.","Select training priorities, tactical plans, unit organization, deployments, and operational priorities for infantry missions.","Direct, train, and lead infantry units in ground combat operations.",20,20,25,35,2.9,2.1,2.0,1.9,2.165,2.0,0.165,1.5,0.665,1.4,0.765,4,2.9,3.0,3.0,2.9,False,,False
15-1212.00,Information Security Analysts,Information Security Analysts,Information & Tech Platforms,"Protects computer networks and information by assessing risks and planning, implementing, monitoring, and improving security controls and incident safeguards.",15-1212,182800,2024,129180,2025,Bachelor's Degree,2018-08-01,"Gather threat intelligence, system and access activity, security test results, user requirements, and evidence of control failures or procedural violations.","Assess threats, vulnerabilities, access patterns, test findings, and violations to determine security risk, control effectiveness, and needed corrective action.","Select risk mitigations, access changes, control updates, and emergency or violation responses based on security needs and assessed exposure.","Implement and update safeguards, regulate access, coordinate security plans and responses, and establish procedures and user awareness that protect information systems.",25,30,15,30,4,3,3,3,3.25,2.0,1.25,1.967,1.283,2.0,1.25,50,3,3,2.8,2.7,False,187,True
15-1299.05,Information Security Engineers,Information Security Engineers,Information & Tech Platforms,"Design, implement, assess, and oversee security controls, practices, and responses that protect information systems and data.",15-1299,472000,2024,116580,2025,Bachelor's Degree,2025-08-01,"Collect security-relevant evidence through system and network monitoring, vulnerability scans, penetration tests, control-performance measures, risk assessments, system tests, incident investigations, and user-reported problems.","Evaluate evidence to determine vulnerabilities, intrusions, incident damage, control effectiveness, security-measure functioning, compliance status, and the causes of security or network problems.","Select security improvements, protective-control designs, standards and practices, safeguards, incident response and recovery strategies, and priorities for resolving security problems.","Design, deploy, troubleshoot, and oversee security controls, threat-detection tools, safeguards, policies, response activities, staff security practices, supporting documentation, and user use of security products.",22,27,21,30,3.1,2.6,2.0,2.0,2.404,2.0,0.404,1.803,0.602,1.895,0.509,8,2.9,3.0,3.0,3.0,False,85,True
15-1299.09,Information Technology Project Managers,Information Technology Project Managers,Information & Tech Platforms,"Plan, direct, and deliver information technology projects within agreed scope, schedule, budget, quality, and stakeholder requirements.",15-1299,472000,2024,116580,2025,Bachelor's Degree,2019-08-01,"Gather stakeholder requirements, project performance and milestone data, risk and cost information, resource availability, and supplier or consultant options needed to plan and manage the project.","Assess requirements, progress, quality, risks, costs, staffing capacity, team performance, and project trends to determine their implications for scope, schedule, budget, and delivery.","Set and revise project objectives, implementation and communication plans, work structure, budgets, staffing, assignments, resource and vendor selections, risk responses, and corrective priorities.","Direct and coordinate project personnel and stakeholder communications, manage execution against commitments, facilitate project work, secure needed resources, and deliver conforming project outputs.",20,20,25,35,3.0,3.0,2.1,2.0,2.425,2.0,0.425,1.683,0.742,1.6,0.825,6,3.0,3.0,2.9,3.0,False,85,True
43-4199.00,"Information and Record Clerks, All Other","Information and Record Clerks, All Other",Professional & Business Services,"Maintain, process, and provide organizational information and records in clerical support functions not classified elsewhere.",43-4199,153300,2024,49500,2025,,,"Obtain incoming records, information, updates, and requests needed to maintain, process, and provide organizational information and records.","Review and classify record content and requests to determine accuracy, completeness, organization, and relevant information.","Select the appropriate handling, routing, priority, and record disposition for routine clerical support work.",Maintain and process organizational records and provide requested information or records through clerical support functions.,25,25,10,40,3.6,3.0,3.1,3.0,3.16,2.0,1.16,1.6,1.56,1.575,1.585,8,2.8,3.0,2.2,2.2,False,220,False
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers","Inspectors, Testers, Sorters, Samplers, and Weighers",Manufacturing,"Inspect, test, sort, sample, and weigh materials or products to determine and document conformance with specifications.",51-9061,598000,2024,48570,2025,"High School Diploma - or the equivalent (for example, GED)",2020-08-01,"Obtain specifications and procedures, select and position samples or items, and inspect, test, measure, weigh, and monitor materials, products, installations, work, and equipment to gather conformance evidence.","Evaluate observations and measurements against applicable specifications, standards, purchase orders, environmental requirements, and qualification criteria to calculate results, determine conformance, and assign grades or classifications.","Select acceptance or rejection dispositions, needed corrective actions or adjustments, and production problems requiring escalation.","Document and communicate results and discrepancies, mark, sort, segregate, or discard items according to their disposition, and implement selected equipment, product, or process corrections.",35,25,15,25,3.0,3.2,2.7,2.6,2.905,1.6,1.305,1.408,1.497,1.375,1.53,6,2.7,2.9,2.2,2.2,False,67,True
49-9099.00,"Installation, Maintenance, and Repair Workers, All Other","Installation, Maintenance, and Repair Workers, All Other",Manufacturing,"Perform installation, maintenance, and repair work not classified in a more specific installation, maintenance, or repair occupation.",49-9099,221200,2024,49230,2025,,,"Obtain work requirements, equipment specifications, tools, replacement materials, and condition observations, tests, or measurements needed for installation, maintenance, or repair work.","Assess equipment and site conditions and diagnostic evidence to determine installation requirements, maintenance needs, or the source and extent of faults.","Select the installation method, maintenance procedure, repair approach, materials, and work sequence needed to establish or restore acceptable operation.","Install, maintain, adjust, and repair equipment or systems to place them in or return them to acceptable working condition.",15,20,15,50,2.9,2.4,2.5,1.9,2.24,1.5,0.74,1.15,1.09,1.1,1.14,6,2.7,2.6,2.5,3.0,False,167,True
25-9031.00,Instructional Coordinators,Curriculum Specialist,Government & Public Sector,"Develops, evaluates, and coordinates curricula, instructional materials, learning systems, and educational program standards.",25-9031,232600,2024,77440,2025,Master's Degree,2018-08-01,"Gather learner and performance needs, instructional-effectiveness evidence, subject-matter input, requirements, costs, and information on instructional methods, materials, and technologies.","Assess needs, learning outcomes, instructional effectiveness, feasibility, technological currency, and applicable educational requirements to identify curriculum and program implications.","Set objectives, standards, policies, curriculum and delivery approaches, material and technology selections, recommended changes, and associated resource priorities.","Develop, adapt, evaluate, document, and coordinate curricula, instructional materials, learning systems, and educational program standards, including implementation guidance and authorized resources.",15,25,25,35,3.1,2.8,2.1,2.8,2.67,1.85,0.82,1.7,0.97,1.6,1.07,5,2.8,2.8,3.0,2.5,False,158,True
25-9031.00,Instructional Coordinators,Instructional Coach,Government & Public Sector,"Improves teaching practice by observing, advising, and training educators in instructional methods and technology.",25-9031,232600,2024,77440,2025,Master's Degree,2018-08-01,"Observe educators’ instructional practice and gather relevant curriculum, materials, technology, and program requirements.","Assess the observed practice and instructional context to identify teaching strengths, needs, and opportunities for improvement.","Select recommendations and development priorities for instructional methods, materials, technology use, and related procedures.","Advise and train educators through coaching, workshops, and training on improved instructional practice and technology integration.",20,25,15,40,3.1,2.4,2.4,2.7,2.66,1.45,1.21,1.375,1.285,1.4,1.26,4,3.0,2.8,2.6,2.2,False,158,True
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall","Insulation Workers, Floor, Ceiling, and Wall",Construction,"Install and finish insulating materials in floors, ceilings, walls, and related structural spaces to control heat, cold, or moisture.",47-2131,40200,2024,49120,2025,"High School Diploma - or the equivalent (for example, GED)",2015-07-01,"Obtain project requirements, inspect structural spaces, and measure surfaces and openings for insulation coverage.","Evaluate plans, space characteristics, and thermal or moisture-control requirements to determine the needed insulation performance and coverage.","Choose the insulation materials and installation, distribution, and finishing approach suited to the structure.","Safely remove existing insulation when required; prepare surfaces; cut, load, install, distribute, regulate, secure, seal, and finish insulation in floors, ceilings, walls, and related spaces.",10,7,6,77,2.9,3.0,3.0,2.0,2.22,0.23,1.99,0.23,1.99,0.23,1.99,3,2.8,2.2,2.0,3.0,False,462,False
47-2132.00,"Insulation Workers, Mechanical","Insulation Workers, Mechanical",Construction,"Install, repair, and protect insulation on mechanical systems to control temperature and noise.",47-2132,27200,2024,58340,2025,"High School Diploma - or the equivalent (for example, GED)",2023-08-01,"Obtain job requirements from blueprints and specifications, assess mechanical-system surfaces and conditions, and measure materials for the required coverage.","Translate requirements, equipment use, location, surface shape, and material properties into installation-relevant dimensions and protection needs.","Select the insulation materials, quantities, and installation approach needed to control temperature and noise and protect the system.","Prepare surfaces; cut, shape, fit, install, repair, seal, finish, and apply protective coverings to insulation on mechanical systems.",15,20,15,50,3.1,3.1,3.2,2.0,2.565,0.5,2.065,0.5,2.065,0.5,2.065,2,3.0,2.4,2.2,3.0,False,535,False
13-1032.00,"Insurance Appraisers, Auto Damage","Insurance Appraisers, Auto Damage","Finance, Insurance, Real Estate, & Leasing","Appraise vehicle damage and determine repair costs, total-loss status, and salvage value for insurance claim settlement.",13-1032,9200,2024,78240,2025,Some College Courses,2016-07-01,"Inspect damaged vehicles and obtain repair-shop estimates, automotive cost references, market-value information, and independent appraisal evidence when needed.","Assess the extent of vehicle damage and derive repair parts, labor, and salvage-value estimates from the collected evidence.","Determine whether repair is practical or the vehicle is a total loss, and select the repair-cost and settlement recommendation.","Reconcile repair costs with repair facilities, arrange additional appraisal to resolve cost disagreements, and document estimates and recommendations for claim settlement.",25,30,20,25,2.5,2.9,3.4,2.8,2.875,1.75,1.125,1.638,1.238,1.75,1.125,4,2.8,2.9,2.7,2.1,False,723,False
43-9041.00,Insurance Claims and Policy Processing Clerks,Insurance Claims Processing Clerk,"Finance, Insurance, Real Estate, & Leasing","Processes insurance claims by verifying claim information and coverage, maintaining records, calculating claim amounts, and routing or issuing payments.",43-9041,256700,2024,49230,2025,"High School Diploma - or the equivalent (for example, GED)",2022-08-01,"Obtain claim details and missing documentation from insured parties and records, retrieve relevant policy and claim-file information, and assemble complete claim forms.","Verify claim information and policy coverage, assess document completeness, and calculate the applicable claim amount.","Determine the claim’s payment disposition, including whether it should be paid, routed for further investigation, or referred for appropriate next steps.","Maintain accurate claim records, communicate claim status or procedural information, and route or issue authorized claim payments.",30,25,15,30,3.1,3.0,2.7,4.0,3.285,2.0,1.285,1.525,1.76,1.7,1.585,4,2.8,2.7,2.5,2.7,False,150,True
43-9041.00,Insurance Claims and Policy Processing Clerks,Insurance Policy Processing Clerk,"Finance, Insurance, Real Estate, & Leasing","Processes insurance applications and policy transactions by verifying data, maintaining records, and administering issuance, modification, reinstatement, and cancellation.",43-9041,256700,2024,49230,2025,"High School Diploma - or the equivalent (for example, GED)",2022-08-01,"Obtain applications, policyholder or agent correspondence, supporting policy documents, cancellation records, payment information, and rate-standard inputs needed for policy transactions.","Verify application and policy data, assess requested changes and their effects, compare reinstatement information with applicable criteria, and calculate transaction-related amounts.","Determine the appropriate policy disposition or adjustment, including whether a reinstatement meets the criteria for approval.","Process and record policy issuance, modification, reinstatement, and cancellation; maintain policy records, submit required forms, collect initial premiums, and communicate transaction status.",20,22,13,45,3.7,3.0,2.9,3.5,3.352,1.45,1.902,1.363,1.989,1.42,1.932,3,2.9,2.8,2.2,2.4,False,150,True
41-3021.00,Insurance Sales Agents,Insurance Sales Agents,"Finance, Insurance, Real Estate, & Leasing","Sell and service insurance coverage by assessing client needs and risks, recommending policies, and coordinating placement, renewal, and related support.",41-3021,568800,2024,62280,2025,Bachelor's Degree,2018-08-01,"Develop prospects and obtain client, property, financial, existing-coverage, claim, and policy-completion information needed to place and service coverage.","Assess client needs and insurance risks, evaluate coverage options and policy terms, calculate premiums, and determine applicable program requirements.","Design suitable coverage programs, select the insurer and policy arrangements, and establish premium-payment and renewal or policy-change recommendations.","Present and sell coverage, submit and coordinate applications and binders, deliver and renew policies, support claims, and coordinate required policy and group-program administration.",23,22,20,35,3.1,3.0,2.5,2.5,2.748,2.0,0.748,1.821,0.927,1.8,0.948,8,2.8,3.0,2.5,2.3,False,70,True
13-2053.00,Insurance Underwriters,Insurance Underwriters,"Finance, Insurance, Real Estate, & Leasing",Insurance Underwriters evaluate insurance applications and related exposures to determine whether coverage is acceptable and establish risk-appropriate terms or reinsurance.,13-2053,127000,2024,81370,2025,Bachelor's Degree,2018-08-01,"Review applications, supporting documents, company exposure records, reference materials, and additional information obtained from relevant parties.","Assess applicant and property risk, expected and catastrophic loss potential, and aggregated insurance exposure against underwriting policies.","Determine whether to accept or decline risk and select appropriate coverage values, rates, endorsements, or reinsurance.","Issue and communicate underwriting dispositions, apply selected policy terms and ratings, and authorize reinsurance for high-risk policies.",20,35,30,15,3.6,3,3,4,3.27,2.0,1.27,1.696,1.574,1.6,1.67,24,2.9,2.9,2.9,3,False,256,False
33-3021.06,Intelligence Analysts,Intelligence Analysts,Government & Public Sector,"Gather, analyze, evaluate, and communicate intelligence to identify and anticipate criminal and security threats.",33-3021,117900,2024,93790,2025,Bachelor's Degree,2024-08-01,"Collect, retrieve, observe, intercept, translate, and validate intelligence from records, sources, interviews, surveillance, communications, and technical collection tools.","Correlate and analyze intelligence to assess criminal and security activity, relationships, assets and financial flows, patterns, locations, group structures, and emerging threats.","Set intelligence collection priorities and develop threat-informed defense, tactical, and communications-interception plans.","Deliver intelligence findings, threat assessments, forecasts, and visual analyses through reports, briefings, maps, charts, and coordinated information sharing.",30,38,12,20,2.5,2.8,2.1,3.5,2.766,1.88,0.886,1.608,1.159,1.73,1.036,8,3.0,2.8,2.9,2.8,False,267,False
27-1025.00,Interior Designers,Interior Designers,Construction,"Plan, design, and furnish functional, aesthetically appropriate interior environments for clients.",27-1025,87100,2024,67190,2025,Bachelor's Degree,2024-08-01,"Elicit client goals, budget, functional and aesthetic constraints; research applicable accessibility, health, safety, sustainability, material, product, and technology requirements; and gather site, construction, and shop-drawing information.","Assess client and environmental requirements, codes, spatial conditions, construction details, material suitability, and estimated quantities and costs to establish feasible design constraints.","Determine the practical, aesthetically appropriate, code-compliant spatial plan, layout, colors, materials, furnishings, accessories, and environmental features for the interior environment.","Communicate and document the approved design through drawings and construction documents, advise clients, procure and arrange specified furnishings and finishes, coordinate delivery work, and verify construction conforms to the design.",20,20,25,35,2.9,2.9,2.8,2.0,2.56,1.65,0.91,1.343,1.217,1.45,1.11,7,2.9,2.9,2.1,3.0,False,318,False
27-3091.00,Interpreters and Translators,Interpreter,Professional & Business Services,Convey spoken or signed messages between languages during live or consecutive communication.,27-3091,75300,2024,60170,2025,Bachelor's Degree,2021-08-01,"Obtain the speaker’s signed or spoken message and assemble relevant terminology, reference information, context, audience needs, and required communication conditions.","Determine the intended meaning, content, context, style, and culturally or conceptually relevant implications of the message, resolving ambiguities or meaning conflicts.","Select the language, wording, signing, and audience-appropriate rendering that most faithfully conveys the intended message.",Convey the selected rendering orally or through sign language in simultaneous or consecutive live communication while preserving confidentiality.,15,30,10,45,2.8,2.4,2.7,2.4,2.49,2.0,0.49,1.888,0.603,1.9,0.59,4,3.0,3.0,2.7,2.5,False,345,False
27-3091.00,Interpreters and Translators,Translator,Professional & Business Services,"Convert written material into another language while preserving its meaning, context, and intended effect.",27-3091,75300,2024,60170,2025,Bachelor's Degree,2021-08-01,"Assemble the source text, relevant terminology, reference material, and information about its content, context, intended audience, and required cultural setting.","Determine the source material’s intended meanings, concepts, tone, and effects, resolving linguistic or cultural ambiguities that could alter them.","Select target-language wording, consistent terminology, and culturally appropriate adaptations that best preserve the original material’s meaning, context, and intended effect.","Produce, proofread, edit, and revise the written translation, including localized software or technical documentation where required, while handling source information confidentially.",20,28,17,35,2.9,2.9,3.0,3.0,2.952,2.0,0.952,1.783,1.169,2.0,0.952,3,3.0,3.0,3.0,3.0,False,345,False
43-4111.00,"Interviewers, Except Eligibility and Loan","Interviewers, Except Eligibility and Loan",Professional & Business Services,"Obtain, clarify, verify, and record information from individuals to complete forms, applications, questionnaires, or surveys.",43-4111,164300,2024,45920,2025,"High School Diploma - or the equivalent (for example, GED)",2021-08-01,"Locate and contact respondents, explain the purpose and questions, and obtain needed personal, application, questionnaire, survey, record, or verification information through interviewing and related follow-up.","Assess responses and supporting information for completeness, accuracy, validity, and inconsistencies, identifying data problems that require clarification.","Select appropriate follow-up questions, explanations, corrections, or dispositions needed to resolve incomplete, inconsistent, or invalid information.","Assist respondents as needed and compile, code, record, and submit the clarified information to complete the required forms, applications, questionnaires, or surveys.",45,20,10,25,3.0,3.0,3.0,3.3,3.075,2.0,1.075,2.0,1.075,2.0,1.075,5,2.9,3.0,2.0,2.7,False,206,False
11-3031.03,Investment Fund Managers,Investment Fund Managers,"Finance, Insurance, Real Estate, & Leasing","Plan, direct, and oversee investment strategies and operations for pooled client assets.",11-3031,868600,2024,166570,2025,Master's Degree,2014-07-01,"Gather market, company, industry, investment-performance, investor-objective, and regulatory information needed to manage pooled assets within applicable requirements.","Analyze research, valuations, forecasts, portfolio performance, risks, regulatory developments, and prospective opportunities to assess fund positioning and compliance.","Set fund policies and strategies, choose investments and portfolio mixes, prioritize opportunities, and select trades and execution approaches consistent with client goals and risk limits.","Manage the fund by implementing investment strategies, executing or directing trades, overseeing investment operations and valuation controls, and communicating required investment and regulatory information to investors and regulators.",25,30,25,20,3.3,2.9,2.1,2.4,2.7,1.8,0.9,1.71,0.99,1.8,0.9,5,3.0,2.9,3.0,2.7,False,46,True
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Professional & Business Services,"Keep buildings and their immediate grounds clean, safe, orderly, and usable through custodial care and related minor upkeep.",37-2011,2447700,2024,36840,2025,"High School Diploma - or the equivalent (for example, GED)",2023-08-01,"Inspect building and grounds conditions, obtain cleaning and maintenance supplies and equipment, and assemble specified cleaning solutions and materials.","Assess cleanliness, safety, infestation, upkeep, and repair conditions to identify work needs and hazards.","Set work priorities and select appropriate custodial, grounds-care, minor-upkeep, safety, or escalation responses under required procedures.","Clean, service, secure, and maintain buildings and immediate grounds through waste removal, surface and floor care, seasonal clearing, pest control, minor repairs, and reporting of major repair needs.",10,6,4,80,3.0,2.9,3.0,2.0,2.194,1.7,0.494,1.7,0.494,1.7,0.494,3,2.5,2.4,2.1,3.0,False,11,True
51-9071.00,Jewelers and Precious Stone and Metal Workers,Jeweler and Precious Metal Worker,Manufacturing,"Designs, fabricates, finishes, adjusts, and repairs jewelry and other precious-metal articles.",51-9071,35100,2024,52540,2025,"High School Diploma - or the equivalent (for example, GED)",2025-08-01,"Obtain metals, gems, reference information, stakeholder requirements, measurements, and condition evidence needed to design, fabricate, adjust, or repair precious-metal articles.","Assess requirements, material properties, dimensions, workmanship, and finished-piece conformance to determine design and repair needs.","Select or modify designs, specifications, materials, and fabrication or rework methods for each article.","Design, model, cast, form, cut, join, set, engrave, plate, finish, adjust, repair, and inspect jewelry and other precious-metal articles.",18,17,15,50,3.0,2.9,2.8,2.0,2.453,1.5,0.953,1.5,0.953,1.5,0.953,5,2.3,2.4,2.0,3.0,False,486,False
51-9071.00,Jewelers and Precious Stone and Metal Workers,Jewelry and Gemstone Appraiser,"Finance, Insurance, Real Estate, & Leasing",Grades gemstones and determines their appraised market value.,51-9071,35100,2024,52540,2025,"High School Diploma - or the equivalent (for example, GED)",2025-08-01,"Examine gemstones and obtain relevant physical observations, price-guide information, and current market data.","Classify gemstone color, perfection, cut quality, and rarity, then estimate market value from those findings and market evidence.",NA — The role produces classifications and valuation conclusions rather than selecting a course of action.,Deliver the gemstone grade and estimated market value as the appraisal result.,30,60,0,10,3.0,2.8,NA,4.0,2.98,2.0,0.98,1.65,1.33,1.8,1.18,4,2.5,2.6,,3.0,False,486,False
23-1023.00,"Judges, Magistrate Judges, and Magistrates","Judges, Magistrate Judges, and Magistrates",Government & Public Sector,"Preside over legal proceedings and administer justice by applying law, resolving disputes, and issuing judicial rulings and orders.",23-1023,27300,2024,153990,2025,Doctoral Degree,2020-08-01,"Obtain and review pleadings, motions, legal authorities, testimony, allegations, documentary evidence, jury findings, and other case-record inputs needed to adjudicate matters.","Assess the facts, evidentiary record, and governing law to determine issues such as legal relevance, admissibility, liability, probable cause, and the merits of claims or charges.","Select procedural and substantive dispositions, including evidentiary and hearing rulings, case outcomes, remedies, sentences, warrants, restrictions, and custody or property determinations.","Preside over and regulate proceedings, instruct and guide participants, and formally deliver, document, and enforce judicial rulings, orders, opinions, and other adjudicative outcomes.",23,27,22,28,3.1,2.2,2.0,2.0,2.307,1.78,0.527,1.655,0.652,1.78,0.527,4,3.0,3.0,3.0,2.6,False,533,False
23-1012.00,Judicial Law Clerks,Judicial Law Clerks,Government & Public Sector,"Assist judges by researching case-related legal issues, analyzing filings, and preparing judicial legal work product.",23-1012,14500,2024,64920,2025,Doctoral Degree,2021-08-01,"Research applicable legal authorities and case materials, review filings and records, monitor legal developments, and obtain information from court proceedings needed for matters before the court.","Analyze filings, authorities, arguments, and records to identify issues, grounds for relief, legal implications, and effects of changes in law.","Select recommended legal conclusions, dispositions, orders, and case-management priorities for judges’ consideration.","Prepare and refine briefs, memoranda, statements of issues, and draft judicial opinions or decisions, and communicate legal and procedural guidance.",25,28,12,35,3.0,2.4,2.2,3.0,2.736,1.88,0.856,1.88,0.856,1.88,0.856,6,3.0,2.8,2.9,3.0,False,662,False
25-2012.00,"Kindergarten Teachers, Except Special Education","Kindergarten Teachers, Except Special Education",Government & Public Sector,Teach kindergarten students foundational academic and social skills while supporting their development and managing the classroom learning environment.,25-2012,117200,2024,62680,2025,Bachelor's Degree,2018-08-01,"Gather curriculum requirements, information from families and colleagues, and observations, assignments, tests, and records concerning each child's learning, behavior, development, and wellbeing, while preparing the learning materials and spaces needed for instruction.","Assess evidence about children's academic progress, social development, adjustment, health, and developmental needs to identify strengths, difficulties, and required support.","Set instructional objectives and select, adapt, sequence, and prioritize lessons, classroom expectations, interventions, referrals, and individualized supports in response to children's needs.","Teach foundational academic, social, self-care, and developmental skills through instruction, reading, demonstration, play, and experiential activities; maintain a safe, orderly classroom; and deliver targeted guidance and extra help.",16,17,22,45,2.2,2.2,2.2,1.9,2.065,2.0,0.065,1.627,0.438,1.55,0.515,6,3.0,2.9,2.8,3.0,False,269,False
13-1075.00,Labor Relations Specialists,Labor Relations Specialists,Professional & Business Services,"Resolve labor-management issues by negotiating and administering labor agreements, handling grievances and disputes, and advising on labor relations compliance and policy.",13-1075,65400,2024,95420,2025,Bachelor's Degree,2023-08-01,"Gather stakeholder positions, grievance facts, contract and workforce records, legal precedents, and hearing evidence relevant to labor-management matters.","Assess complaint viability, construe agreement terms, and evaluate compliance, bargaining risk, and operational effects.","Select bargaining strategies, proposed resolutions or alternatives, dispute procedures, disciplinary dispositions, and compliance or policy advice.","Draft and negotiate labor agreements, mediate disputes, present bargaining or arbitration positions, and communicate or implement labor-relations requirements.",20,25,25,30,2.9,2.3,2.0,2.0,2.255,1.55,0.705,1.438,0.818,1.475,0.78,4,2.9,2.9,3.0,3.0,False,371,False
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand","Laborers and Freight, Stock, and Material Movers, Hand",Transportation & Warehousing,"Manually move and handle freight, stock, equipment, and other materials in logistics, production, and general labor settings.",53-7062,2988900,2024,40240,2025,"High School Diploma - or the equivalent (for example, GED)",2024-08-01,"Obtain work assignments and material or equipment requirements, and identify the freight, stock, tools, and handling inputs involved.","Determine each item's destination, condition, identification, handling requirements, and protection needs from instructions and the material itself.","Select the handling sequence, placement, lifting or moving method, and protective measures needed to move materials safely and appropriately.","Load, unload, transport, position, store, sort, identify, package or repackage, secure, rig, and guide materials and handling equipment to complete their movement and protect inventory.",10,8,10,72,3.9,2.9,2.4,2.0,2.302,1.9,0.402,1.9,0.402,1.9,0.402,3,3.0,2.4,2.3,2.9,False,7,True
17-1012.00,Landscape Architects,Landscape Architects,Construction,"Plan, design, and oversee the implementation of functional, aesthetic, and sustainable outdoor land areas for client projects.",17-1012,21800,2024,79870,2025,Bachelor's Degree,2025-08-01,"Obtain client requirements and project constraints, inspect sites, and assemble information on land conditions, features, water systems, materials, costs, and applicable development context.","Assess site, drainage, soil, structural, environmental, aesthetic, and cost information to determine the conditions and opportunities shaping a functional, sustainable landscape.","Select the landscape concept, planting, land-feature integration, water-conservation systems, sustainable materials, specifications, and implementation approach that meet project objectives.","Produce and communicate plans, drawings, specifications, estimates, and visual representations, then oversee construction quality and provide follow-up consultation as the landscape develops.",20,25,25,30,2.9,3.0,3.0,2.1,2.71,1.55,1.16,1.386,1.324,1.5,1.21,7,2.6,2.5,2.0,2.8,False,575,False
37-3011.00,Landscaping and Groundskeeping Workers,Groundskeeping Workers,Professional & Business Services,"Groundskeeping Workers maintain landscaped grounds by caring for vegetation and turf, controlling debris and seasonal hazards, and servicing irrigation and outdoor features.",37-3011,1192500,2024,39150,2025,Less than a High School Diploma,2015-07-01,"Inspect grounds, vegetation, turf, soil, irrigation, and outdoor features, and assemble the tools and materials needed for maintenance.","Assess plant and turf condition, water and soil needs, overgrowth, debris, damage, and seasonal hazards affecting grounds quality and usability.","Select and prioritize vegetation care, grounds cleanup, and feature or seasonal maintenance methods suited to identified conditions.","Maintain usable, orderly grounds using appropriate hand or powered equipment to care for vegetation and turf, clear debris or snow, and service outdoor features.",15,10,10,65,3.3,3.4,3.8,2.2,2.645,1.65,0.995,1.22,1.425,1.0,1.645,20,2.9,2.9,2.8,3,False,34,True
37-3011.00,Landscaping and Groundskeeping Workers,Landscape Installation Workers,Professional & Business Services,"Landscape Installation Workers create planned outdoor landscapes by preparing sites, installing plants and turf, and constructing associated functional or decorative features.",37-3011,1192500,2024,39150,2025,Less than a High School Diploma,2015-07-01,"Gather landscape plans, site information, plant and construction materials, and the hand or powered equipment needed for installation.","Read designs and assess terrain, soil, drainage, placement requirements, and material needs to translate plans into workable site layouts.","Choose installation sequence, site-preparation methods, material placement, and appropriate tools or equipment while addressing field conditions.","Prepare sites, place and support living materials, and build associated decorative, drainage, irrigation, border, or structural features according to design.",10,10,10,70,2.7,3,3,2,2.27,1.2,1.07,1.108,1.162,1.1,1.17,13,2.3,3,2.6,3,False,34,True
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Manufacturing,"Set up, operate, and tend lathe and turning machines to shape metal or plastic workpieces to specification.",51-4034,18900,2024,50620,2025,"High School Diploma - or the equivalent (for example, GED)",2024-08-01,"Obtain job specifications, tooling instructions, material requirements, dimensional measurements, and operating-condition observations from drawings, orders, instrument checks, and machine monitoring.","Determine required dimensions and machine settings and assess workpiece conformance and operating conditions using specifications, material properties, shop mathematics, measurements, and observations.","Select tooling, operational sequence, cutting parameters, workholding, attachments, and corrective adjustments needed to maintain specified tolerances.","Set up, load, align, program, operate, tend, adjust, and maintain the lathe or turning machine to shape metal or plastic workpieces to specification.",15,10,10,65,4.0,3.0,3.0,2.1,2.565,1.85,0.715,1.65,0.915,1.85,0.715,3,3.0,2.0,2.0,2.8,False,608,False
51-6011.00,Laundry and Dry-Cleaning Workers,Dry-Cleaning Spotter,Manufacturing,"Identifies and removes stains through individualized solvent, chemical, and mechanical treatments.",51-6011,202600,2024,34890,2025,Less than a High School Diploma,2015-07-01,"Inspect stained articles and obtain fabric, dye, stain, and color-condition evidence through sight, touch, and sample testing.","Assess the article’s material and condition to identify stain sources, color imperfections, and special-treatment needs.","Select the individualized spotting procedure, solvents, and treatment sequence appropriate to the fabric and stain.","Position articles and remove stains through selected solvent, bleaching, steaming, flushing, neutralizing, scrubbing, and drying treatments.",18,17,12,53,3.3,2.9,2.9,2.2,2.601,0.35,2.251,0.35,2.251,0.35,2.251,1,2.8,2.5,2.0,2.7,False,176,True
